year,country_code,country_code_letter,HDI_value,dollar_per_capita
2016,231,ETH,0.465,0.06
2016,233,EST,0.884,1.17
2016,242,FJI,0.721,1.44
2016,246,FIN,0.931,39.68
2016,251,FRA,0.896,3.25
2016,266,GAB,0.696,76.48
2016,268,GEO,0.802,90.02
2016,275,PSE,0.715,0.12
2016,276,DEU,0.941,4.95
2016,288,GHA,0.586,4.88
2016,300,GRC,0.877,6.01
2016,320,GTM,0.633,39.87
2016,324,GIN,0.466,50.94
2016,328,GUY,0.693,141.71
2016,340,HND,0.615,3.59
2016,344,HKG,0.939,3.6
2016,348,HUN,0.843,1.36
2016,352,ISL,0.951,2.91
2016,360,IDN,0.701,13.48
2016,364,IRN,0.785,13.16
2016,372,IRL,0.929,50.15
2016,376,ISR,0.902,0.21
2016,380,ITA,0.886,3.29
2016,384,CIV,0.506,0.49
2016,388,JAM,0.71,32.8
2016,392,JPN,0.914,1.13
2016,398,KAZ,0.797,65.0
2016,400,JOR,0.74,0.05
2016,404,KEN,0.586,2.95
2016,410,KOR,0.912,1.82
2016,414,KWT,0.832,0.08
2016,417,KGZ,0.692,11.06
2016,418,LAO,0.61,108.7
2016,422,LBN,0.76,0.02
2016,426,LSO,0.518,0.0
2016,428,LVA,0.858,0.22
2016,434,LBY,0.746,0.01
2016,440,LTU,0.87,0.54
2016,442,LUX,0.922,17.66
2016,450,MDG,0.501,2.47
2016,454,MWI,0.501,0.0
2016,458,MYS,0.798,42.64
2016,466,MLI,0.407,0.0
2016,470,MLT,0.887,0.77
2016,478,MRT,0.532,167.96
2016,484,MEX,0.773,31.22
2016,496,MNG,0.741,682.57
2016,499,MNE,0.826,50.32
2016,504,MAR,0.662,6.93
2016,508,MOZ,0.448,7.0
2016,512,OMN,0.832,30.54
2016,516,NAM,0.631,345.38
2016,524,NPL,0.574,0.0
2016,528,NLD,0.933,39.91
2016,533,ABW,,1.97
2016,554,NZL,0.935,1.16
2016,558,NIC,0.65,0.03
2016,562,NER,0.372,14.49
2016,566,NGA,0.526,0.05
2016,579,NOR,0.956,25.14
2016,586,PAK,0.533,0.41
2016,600,PRY,0.736,0.0
2016,604,PER,0.764,396.83
2016,608,PHL,0.696,11.76
2016,616,POL,0.872,3.39
2016,620,PRT,0.851,39.68
2016,634,QAT,0.853,5.31
2016,642,ROU,0.815,2.25
2016,643,RUS,0.826,14.09
2016,646,RWA,0.518,7.28
2016,670,VCT,0.783,0.01
2016,682,SAU,0.846,7.21
2016,686,SEN,0.51,6.63
2016,688,SRB,0.8,7.2
2016,694,SLE,0.446,0.05
2016,699,IND,0.63,0.98
2016,702,SGP,0.937,8.09
2016,703,SVK,0.855,4.91
2016,704,VNM,0.702,0.83
2016,705,SVN,0.909,6.32
2016,710,ZAF,0.711,134.21
2016,716,ZWE,0.547,26.09
2016,724,ESP,0.894,29.79
2016,729,SDN,0.517,0.02
2016,740,SUR,0.709,193.87
2016,748,SWZ,0.59,0.0
2016,752,SWE,0.939,218.04
2016,757,CHE,0.954,2.3
2016,762,TJK,0.655,26.97
2016,764,THA,0.793,1.52
2016,780,TTO,0.81,160.85
2016,784,ARE,0.866,5.96
2016,788,TUN,0.728,0.17
2016,792,TUR,0.826,11.65
2016,800,UGA,0.531,0.06
2016,804,UKR,0.767,42.85
2016,807,MKD,0.782,65.83
2016,818,EGY,0.702,0.17
2016,826,GBR,0.926,3.59
2016,834,TZA,0.509,6.01
2016,842,USA,0.926,17.59
2016,854,BFA,0.422,0.0
2016,858,URY,0.811,0.12
2016,894,ZMB,0.564,1.31
2017,4,AFG,0.485,0.0
2017,8,ALB,0.796,33.88
2017,12,DZA,0.738,0.06
2017,20,AND,0.86,0.1
2017,24,AGO,0.597,0.01
2017,31,AZE,0.754,1.99
2017,32,ARG,0.853,16.59
2017,36,AUS,0.937,2413.89
2017,40,AUT,0.914,4.45
2017,48,BHR,0.867,576.29
2017,51,ARM,0.775,200.95
2017,52,BRB,0.803,0.0
2017,56,BEL,0.931,18.18
2017,68,BOL,0.707,206.46
2017,70,BIH,0.77,11.78
2017,72,BWA,0.705,1.66
2017,76,BRA,0.758,109.42
2017,90,SLB,0.566,29.53
2017,96,BRN,0.829,0.13
2017,100,BGR,0.81,85.37
2017,104,MMR,0.58,0.53
2017,108,BDI,0.422,0.7
2017,112,BLR,0.811,0.34
2017,120,CMR,0.574,0.0
