year,country_code,country_code_letter,HDI_value,dollar_per_capita,_x_orig,_y_orig,_x_scaled,_y_scaled,cluster
2018,208,DNK,0.942,53.62,53.62,0.942,0.11196275624373053,0.9795918367346939,1
2019,208,DNK,0.946,50.5,50.5,0.946,0.10393785848401452,0.9886621315192745,1
2020,208,DNK,0.946,61.96,61.96,0.946,0.1334139252552792,0.9886621315192745,1
2013,724,ESP,0.88,12.83,12.83,0.88,0.007047506365904472,0.8390022675736963,1
2014,724,ESP,0.884,11.44,11.44,0.884,0.003472311530646366,0.8480725623582768,1
2018,724,ESP,0.899,10.29,10.29,0.899,0.000514416523058718,0.8820861678004539,1
2019,724,ESP,0.904,10.67,10.67,0.904,0.0014918079168702893,0.8934240362811796,1
2020,724,ESP,0.894,11.68,11.68,0.894,0.004089611358316831,0.8707482993197282,1
2013,233,EST,0.881,93.46,93.46,0.881,0.2144345276370277,0.8412698412698414,1
2014,233,EST,0.879,86.95,86.95,0.879,0.19769026981146634,0.8367346938775513,1
2015,233,EST,0.883,120.59,120.59,0.883,0.28421512898994317,0.8458049886621317,1
2016,233,EST,0.884,89.33,89.33,0.884,0.20381182643586512,0.8480725623582768,1
2017,233,EST,0.886,130.79,130.79,0.886,0.31045037166593786,0.8526077097505673,0
2018,233,EST,0.89,94.17,94.17,0.89,0.21626070629388616,0.8616780045351475,1
2019,233,EST,0.893,166.23,166.23,0.893,0.4016049795519432,0.8684807256235831,0
2020,233,EST,0.891,183.77,183.77,0.891,0.446719308624193,0.8639455782312926,0
2013,246,FIN,0.926,32.0,32.0,0.926,0.056354330101082845,0.9433106575963721,1
2014,246,FIN,0.928,38.9,38.9,0.928,0.0741017001466087,0.9478458049886627,1
2015,246,FIN,0.93,29.72,29.72,0.93,0.050489981738213424,0.9523809523809528,1
2016,246,FIN,0.931,23.93,23.93,0.931,0.03559762339566347,0.9546485260770978,1
2017,246,FIN,0.934,22.41,22.41,0.934,0.0316880578204172,0.9614512471655334,1
2018,246,FIN,0.936,17.17,17.17,0.936,0.01821034491627872,0.9659863945578235,1
2019,246,FIN,0.939,24.36,24.36,0.939,0.03670361892023971,0.9727891156462587,1
2020,246,FIN,0.939,28.99,28.99,0.939,0.048612361429049095,0.9727891156462587,1
2013,251,FRA,0.888,164.58,164.58,0.888,0.3973610432367088,0.8571428571428574,0
2014,251,FRA,0.892,135.28,135.28,0.892,0.3219990226086062,0.8662131519274381,0
2015,251,FRA,0.893,120.07,120.07,0.893,0.28287764602999044,0.8684807256235831,1
2016,251,FRA,0.896,93.02,93.02,0.896,0.2133028112862985,0.8752834467120183,1
2017,251,FRA,0.899,83.58,83.58,0.899,0.1890223513979269,0.8820861678004539,1
2018,251,FRA,0.903,108.46,108.46,0.903,0.25301576686643173,0.8911564625850341,1
2019,251,FRA,0.905,109.91,109.91,0.905,0.25674528665860746,0.8956916099773247,1
2020,251,FRA,0.9,115.33,115.33,0.9,0.2706859744334988,0.884353741496599,1
2014,826,GBR,0.924,10.87,10.87,0.924,0.002006224439929011,0.938775510204082,1
2015,826,GBR,0.923,13.21,13.21,0.923,0.008024897759716047,0.936507936507937,1
2016,826,GBR,0.926,14.4,14.4,0.926,0.011085676071915431,0.9433106575963721,1
2019,826,GBR,0.933,11.12,11.12,0.933,0.00264924509375241,0.9591836734693879,1
2013,268,GEO,0.784,16.69,16.69,0.784,0.01697574526093779,0.6213151927437643,2
2013,300,GRC,0.874,14.1,14.1,0.874,0.01031405128732735,0.8253968253968256,1
2014,300,GRC,0.879,21.61,21.61,0.879,0.02963039172818231,0.8367346938775513,1
2015,300,GRC,0.881,11.31,11.31,0.881,0.0031379407906581974,0.8412698412698414,1
2016,300,GRC,0.877,20.59,20.59,0.877,0.027006867460582836,0.832199546485261,1
2017,300,GRC,0.88,13.07,13.07,0.88,0.0076648061935749405,0.8390022675736963,1
2018,300,GRC,0.886,14.6,14.6,0.886,0.01160009259497415,0.8526077097505673,1
2019,300,GRC,0.89,13.37,13.37,0.89,0.008436430978163021,0.8616780045351475,1
2020,300,GRC,0.887,15.66,15.66,0.887,0.014326500167185372,0.8548752834467124,1
2013,328,GUY,0.674,318.71,318.71,0.674,0.7937961367319118,0.3718820861678007,0
2014,328,GUY,0.682,328.34,328.34,0.682,0.8185652923171892,0.3900226757369616,0
2015,328,GUY,0.686,289.38,289.38,0.686,0.7183569536253505,0.39909297052154225,0
